Date,Time,Count,Avg Speed [km/h],PH,PH Bool
05/07/2023,02:00 - 03:00,20,69,#N/A,0
05/07/2023,03:00 - 04:00,44,61,#N/A,0
05/07/2023,04:00 - 05:00,69,60,#N/A,0
05/07/2023,05:00 - 06:00,140,61,#N/A,0
05/07/2023,06:00 - 07:00,286,69,#N/A,0
05/07/2023,07:00 - 08:00,369,65,#N/A,0
05/07/2023,08:00 - 09:00,410,63,#N/A,0
05/07/2023,09:00 - 10:00,421,58,#N/A,0
05/07/2023,10:00 - 11:00,453,56,#N/A,0
05/07/2023,11:00 - 12:00,479,57,#N/A,0
05/07/2023,12:00 - 13:00,514,56,#N/A,0
05/07/2023,13:00 - 14:00,444,58,#N/A,0
05/07/2023,14:00 - 15:00,434,60,#N/A,0
05/07/2023,15:00 - 16:00,484,62,#N/A,0
05/07/2023,16:00 - 17:00,460,63,#N/A,0
05/07/2023,17:00 - 18:00,534,63,#N/A,0
05/07/2023,18:00 - 19:00,475,62,#N/A,0
05/07/2023,19:00 - 20:00,431,63,#N/A,0
05/07/2023,20:00 - 21:00,320,62,#N/A,0
05/07/2023,21:00 - 22:00,180,57,#N/A,0
05/07/2023,22:00 - 23:00,150,61,#N/A,0
05/07/2023,23:00 - 24:00,103,59,#N/A,0
06/07/2023,00:00 - 01:00,64,64,#N/A,0
06/07/2023,01:00 - 02:00,35,64,#N/A,0
06/07/2023,02:00 - 03:00,21,62,#N/A,0
06/07/2023,03:00 - 04:00,28,58,#N/A,0
06/07/2023,04:00 - 05:00,50,55,#N/A,0
06/07/2023,05:00 - 06:00,138,63,#N/A,0
06/07/2023,06:00 - 07:00,306,65,#N/A,0
06/07/2023,07:00 - 08:00,404,65,#N/A,0
06/07/2023,08:00 - 09:00,488,62,#N/A,0
06/07/2023,09:00 - 10:00,596,61,#N/A,0
06/07/2023,10:00 - 11:00,594,60,#N/A,0
06/07/2023,11:00 - 12:00,575,61,#N/A,0
06/07/2023,12:00 - 13:00,467,61,#N/A,0
06/07/2023,13:00 - 14:00,468,59,#N/A,0
06/07/2023,14:00 - 15:00,434,62,#N/A,0
06/07/2023,15:00 - 16:00,418,62,#N/A,0
06/07/2023,16:00 - 17:00,433,65,#N/A,0
06/07/2023,17:00 - 18:00,476,64,#N/A,0
06/07/2023,18:00 - 19:00,434,65,#N/A,0
06/07/2023,19:00 - 20:00,395,63,#N/A,0
06/07/2023,20:00 - 21:00,324,63,#N/A,0
06/07/2023,21:00 - 22:00,161,62,#N/A,0
06/07/2023,22:00 - 23:00,153,61,#N/A,0
06/07/2023,23:00 - 24:00,111,65,#N/A,0
