DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
05/08/2023 09:00,727,75,0,05/08/2023,09:00:00
05/08/2023 10:00,782,74,0,05/08/2023,10:00:00
05/08/2023 11:00,756,75,0,05/08/2023,11:00:00
05/08/2023 12:00,640,76,0,05/08/2023,12:00:00
05/08/2023 13:00,670,77,0,05/08/2023,13:00:00
05/08/2023 14:00,686,76,0,05/08/2023,14:00:00
05/08/2023 15:00,618,76,0,05/08/2023,15:00:00
05/08/2023 16:00,588,77,0,05/08/2023,16:00:00
05/08/2023 17:00,574,75,0,05/08/2023,17:00:00
05/08/2023 18:00,535,76,0,05/08/2023,18:00:00
05/08/2023 19:00,560,78,0,05/08/2023,19:00:00
05/08/2023 20:00,358,75,0,05/08/2023,20:00:00
05/08/2023 21:00,177,73,0,05/08/2023,21:00:00
05/08/2023 22:00,213,73,0,05/08/2023,22:00:00
05/08/2023 23:00,207,82,0,05/08/2023,23:00:00
06/08/2023 00:00,159,77,0,06/08/2023,00:00:00
06/08/2023 01:00,66,81,0,06/08/2023,01:00:00
06/08/2023 02:00,63,75,0,06/08/2023,02:00:00
06/08/2023 03:00,51,83,0,06/08/2023,03:00:00
06/08/2023 04:00,58,80,0,06/08/2023,04:00:00
06/08/2023 05:00,81,76,0,06/08/2023,05:00:00
06/08/2023 06:00,198,78,0,06/08/2023,06:00:00
06/08/2023 07:00,302,81,0,06/08/2023,07:00:00
06/08/2023 08:00,229,80,0,06/08/2023,08:00:00
06/08/2023 09:00,272,75,0,06/08/2023,09:00:00
06/08/2023 10:00,277,71,0,06/08/2023,10:00:00
06/08/2023 11:00,205,67,0,06/08/2023,11:00:00
06/08/2023 12:00,159,71,0,06/08/2023,12:00:00
06/08/2023 13:00,244,72,0,06/08/2023,13:00:00
06/08/2023 14:00,212,74,0,06/08/2023,14:00:00
06/08/2023 15:00,184,73,0,06/08/2023,15:00:00
06/08/2023 16:00,174,73,0,06/08/2023,16:00:00
06/08/2023 17:00,151,71,0,06/08/2023,17:00:00
06/08/2023 18:00,138,70,0,06/08/2023,18:00:00
06/08/2023 19:00,133,74,0,06/08/2023,19:00:00
06/08/2023 20:00,109,73,0,06/08/2023,20:00:00
06/08/2023 21:00,139,76,0,06/08/2023,21:00:00
06/08/2023 22:00,118,70,0,06/08/2023,22:00:00
06/08/2023 23:00,112,78,0,06/08/2023,23:00:00
07/08/2023 00:00,78,78,0,07/08/2023,00:00:00
07/08/2023 01:00,53,75,0,07/08/2023,01:00:00
07/08/2023 02:00,47,81,0,07/08/2023,02:00:00
07/08/2023 03:00,43,77,0,07/08/2023,03:00:00
07/08/2023 04:00,48,81,0,07/08/2023,04:00:00
07/08/2023 05:00,125,80,0,07/08/2023,05:00:00
07/08/2023 06:00,185,81,0,07/08/2023,06:00:00
07/08/2023 07:00,149,82,0,07/08/2023,07:00:00
